Commodity Year,Commodity Name,Delivery Type Code,Delivery Type Name,Insurance Plan Abbrv,Policies Sold,Policies Earning Prem,Policies Indemnified,Units Earning Prem,Units Indemnified,Quantity,Quantity Type,Companion/Endorsed Acres,Liabilities ($),Total Prem ($),Subsidy ($),Indemnity ($),EFA Prem Discount ($),Addnl Subsidy ($),State Subsidy ($),Earn Prem Rate,Loss Ratio
2017,Forage Seeding,RBUP,Reinsured Buyup,DOL,14053,2353,54,2985,62,139343,Acres,0,24576921,3152970,1819343,361660,0,0,0,0.128289,0.114704
2017,Forage Seeding,RCAT,Reinsured Catastrophic,DOL,500,78,0,80,0,11367,Acres,0,920737,71325,71325,0,0,0,0,0.077465,0
2017,Fresh Apricots,RBUP,Reinsured Buyup,APH,102,83,23,107,29,1748,Acres,0,8889102,1332825,807196,999124,0,0,0,0.149939,0.749628
2017,Fresh Apricots,RCAT,Reinsured Catastrophic,APH,26,21,1,22,1,1215,Acres,0,3386391,319518,319518,6920,0,0,0,0.094353,0.021657
2017,Fresh Freestone Peaches,RBUP,Reinsured Buyup,APH,213,179,42,612,64,8758,Acres,0,42561267,1409889,857705,1073005,0,0,0,0.033126,0.761056
2017,Fresh Freestone Peaches,RCAT,Reinsured Catastrophic,APH,98,80,2,87,2,9980,Acres,0,26314997,219733,219733,9998,0,0,0,0.00835,0.0455
2017,Fresh Market Beans,RBUP,Reinsured Buyup,APH,39,17,4,17,4,3012,Acres,0,2670952,339546,215080,150722,0,0,0,0.127125,0.443892
2017,Fresh Market Beans,RCAT,Reinsured Catastrophic,APH,10,9,0,9,0,1873,Acres,0,770413,38367,38367,0,0,0,0,0.0498,0
2017,Fresh Market Sweet Corn,RBUP,Reinsured Buyup,DOL,354,180,42,537,70,32677,Acres,0,38417526,3180752,1861603,2761413,0,0,0,0.082794,0.868163
2017,Fresh Market Sweet Corn,RCAT,Reinsured Catastrophic,DOL,149,87,6,90,6,16083,Acres,0,7232875,193892,193892,68113,0,0,0,0.026807,0.351293
2017,Fresh Market Tomatoes,RBUP,Reinsured Buyup,APH,243,115,59,256,94,5620,Acres,0,36086710,5350215,3129683,7296231,0,0,0,0.148259,1.363726
2017,Fresh Market Tomatoes,RBUP,Reinsured Buyup,DOL,154,40,23,150,37,7814,Acres,0,46181502,5707231,3467982,3928096,0,0,0,0.123582,0.688266
2017,Fresh Market Tomatoes,RCAT,Reinsured Catastrophic,APH,100,35,0,40,0,9585,Acres,0,17515672,990702,990702,0,0,0,0,0.05656,0
2017,Fresh Market Tomatoes,RCAT,Reinsured Catastrophic,DOL,38,9,0,10,0,7935,Acres,0,20674436,591503,591503,0,0,0,0,0.02861,0
2017,Fresh Nectarines,RBUP,Reinsured Buyup,APH,214,177,42,636,74,8328,Acres,0,42516616,2987861,1796360,1311132,0,0,0,0.070275,0.438819
2017,Fresh Nectarines,RCAT,Reinsured Catastrophic,APH,80,64,0,68,0,6352,Acres,0,15792081,343527,343527,0,0,0,0,0.021753,0
2017,Grain Sorghum,RBUP,Reinsured Buyup,ARP,18,3,0,3,0,113,Acres,0,32414,1179,696,0,0,0,0,0.036373,0
2017,Grain Sorghum,RBUP,Reinsured Buyup,AYP,1,0,0,0,0,0,Acres,0,0,0,0,0,0,0,0,0,0
2017,Grain Sorghum,RBUP,Reinsured Buyup,RP,125083,23356,5309,43352,7459,3541300,Acres,0,595394169,135690041,88358617,39070954,0,0,0,0.227899,0.287942
2017,Grain Sorghum,RBUP,Reinsured Buyup,RPHPE,149,27,7,67,19,6594,Acres,0,1077200,213953,133776,150405,0,0,0,0.198619,0.702981
2017,Grain Sorghum,RBUP,Reinsured Buyup,SCOH,8,4,0,13,0,0,Acres,732,9185,4572,2971,0,0,0,0,0.497768,0
2017,Grain Sorghum,RBUP,Reinsured Buyup,SCOR,1503,370,0,1062,0,0,Acres,90926,2789106,1212460,790770,0,0,0,0,0.434712,0
2017,Grain Sorghum,RBUP,Reinsured Buyup,SCOY,157,50,0,250,0,0,Acres,11859,510339,67327,43633,0,0,0,0,0.131926,0
2017,Grain Sorghum,RBUP,Reinsured Buyup,YP,32735,4733,792,8928,1311,483541,Acres,0,73565673,12879477,8155539,6246824,0,0,0,0.175074,0.485021
2017,Grain Sorghum,RCAT,Reinsured Catastrophic,YP,10233,542,88,755,93,110089,Acres,0,5928079,551751,550528,283481,0,0,0,0.093074,0.513784
2017,Grapefruit,RBUP,Reinsured Buyup,APH,206,186,13,234,13,4575,Acres,0,8821844,403210,242211,205869,0,0,0,0.045705,0.510575
2017,Grapefruit,RBUP,Reinsured Buyup,DOL,279,243,66,374,120,27244,Acres,0,41938678,1880323,1095447,4686493,0,0,0,0.044835,2.492387
2017,Grapefruit,RBUP,Reinsured Buyup,SCOY,1,1,0,1,0,0,Acres,6,2229,586,381,0,0,0,0,0.262898,0
2017,Grapefruit,RCAT,Reinsured Catastrophic,APH,28,23,0,23,0,2048,Acres,0,2151685,41638,41638,0,0,0,0,0.019351,0
2017,Grapefruit,RCAT,Reinsured Catastrophic,DOL,41,35,0,35,0,3069,Acres,0,1681451,49017,49017,0,0,0,0,0.029151,0
2017,Grapefruit Trees,RBUP,Reinsured Buyup,TDO,390,355,0,852,0,2944345,Trees,0,110521995,3585403,2246360,0,0,0,0,0.03244,0
2017,Grapefruit Trees,RCAT,Reinsured Catastrophic,TDO,167,158,0,163,0,2665489,Trees,0,52060876,371525,371525,0,0,0,0,0.007136,0
2017,Grapes,RBUP,Reinsured Buyup,APH,4700,4423,731,14875,1302,331446,Acres,0,1140747874,43601363,24962995,22319642,0,0,0,0.038221,0.511902
2017,Grapes,RBUP,Reinsured Buyup,SCOY,13,11,0,25,0,0,Acres,797,365669,21907,14240,0,0,0,0,0.059909,0
2017,Grapes,RCAT,Reinsured Catastrophic,APH,834,776,9,1796,10,241519,Acres,0,365902089,6152465,6152465,286032,0,0,0,0.016814,0.04649
